date,portfolio_value,cash,n_positions,regime
2023-08-02,88692.93997119488,88692.93997119488,0,0
2023-08-03,88692.93997119488,88692.93997119488,0,0
2023-08-04,88692.93997119488,88692.93997119488,0,0
2023-08-07,88692.93997119488,88692.93997119488,0,0
2023-08-08,88692.93997119488,88692.93997119488,0,0
2023-08-09,88692.93997119488,88692.93997119488,0,0
2023-08-10,88692.93997119488,88692.93997119488,0,0
2023-08-11,88692.93997119488,88692.93997119488,0,0
2023-08-14,88692.93997119488,88692.93997119488,0,0
2023-08-15,88692.93997119488,88692.93997119488,0,0
2023-08-16,88692.93997119488,88692.93997119488,0,0
2023-08-17,88692.93997119488,88692.93997119488,0,0
2023-08-18,88692.93997119488,88692.93997119488,0,0
2023-08-21,88692.93997119488,88692.93997119488,0,0
2023-08-22,88692.93997119488,88692.93997119488,0,0
2023-08-23,88692.93997119488,88692.93997119488,0,0
2023-08-24,88692.93997119488,88692.93997119488,0,0
2023-08-25,88692.93997119488,88692.93997119488,0,0
2023-08-28,88692.93997119488,88692.93997119488,0,0
2023-08-29,88692.93997119488,88692.93997119488,0,0
2023-08-30,88692.93997119488,88692.93997119488,0,0
2023-08-31,88692.93997119488,88692.93997119488,0,0
2023-09-01,88692.93997119488,88692.93997119488,0,0
2023-09-04,88692.93997119488,88692.93997119488,0,0
2023-09-05,88692.93997119488,88692.93997119488,0,0
2023-09-06,88692.93997119488,88692.93997119488,0,0
2023-09-07,88692.93997119488,88692.93997119488,0,0
2023-09-08,88692.93997119488,88692.93997119488,0,0
2023-09-11,88692.93997119488,88692.93997119488,0,0
2023-09-12,88692.93997119488,88692.93997119488,0,0
2023-09-13,88692.93997119488,88692.93997119488,0,0
2023-09-14,88692.93997119488,88692.93997119488,0,0
2023-09-15,88692.93997119488,88692.93997119488,0,0
2023-09-18,88692.93997119488,88692.93997119488,0,0
2023-09-19,88692.93997119488,88692.93997119488,0,0
2023-09-20,88692.93997119488,88692.93997119488,0,0
2023-09-21,88692.93997119488,88692.93997119488,0,0
2023-09-22,88692.93997119488,88692.93997119488,0,0
2023-09-25,88692.93997119488,88692.93997119488,0,0
2023-09-26,88692.93997119488,88692.93997119488,0,0
2023-09-27,88692.93997119488,88692.93997119488,0,0
2023-09-28,88692.93997119488,88692.93997119488,0,0
2023-09-29,88692.93997119488,88692.93997119488,0,0
2023-10-02,88692.93997119488,88692.93997119488,0,0
2023-10-03,88692.93997119488,88692.93997119488,0,0
2023-10-04,88692.93997119488,88692.93997119488,0,0
2023-10-05,88692.93997119488,88692.93997119488,0,0
2023-10-06,88692.93997119488,88692.93997119488,0,0
2023-10-09,88692.93997119488,88692.93997119488,0,0
2023-10-10,88692.93997119488,88692.93997119488,0,0
2023-10-11,88692.93997119488,88692.93997119488,0,0
2023-10-12,88692.93997119488,88692.93997119488,0,0
2023-10-13,88692.93997119488,88692.93997119488,0,0
2023-10-16,88692.93997119488,88692.93997119488,0,0
